keyword,year,month
harmonizable processes,2015,April
Codage Vidéo 3D (3DVC),2012,May
nonnegative matrix factorization problem,2011,
des,2014,
produce larger idle periods,2013,February
WiMAX,2014,April
large metallic display screen,2015,01
Model-driven engineering,2015,February
Model-driven engineering,2016,February
Intervention sociologique,2011,May
Topology abstraction,2013,January
CPA),2013,
limiting distribution displays,2011,03
Distributed source coding,2012,05
pairwise dissimilarity,2014,02
verbal behaviors directly rated,2013,August
Particle filter,2012,March
Particle filter,2014,May
Patch,2012,08
Patch,2012,February
second perspective prove optimal,2012,01
J4 [SOCIAL AND BEHAVIORAL SCIENCES]: Psy-,2014,June
true implementation,2012,June
may store barack obama,2014,November
describes system dynamics,2013,September
radiative transfer models confirm,2011,June
hardware/software codesign,2014,February
neighboring search process,2013,September
chosen via distributed optimisation,2011,
ECA,2011,July
algorithms scale extremely well,2011,September
image blur,2012,November
image blur,2012,12
db snr tiadc clocked,2016,01
monitoring of optical modulated signals,2012,May
unrestricted document corpora due,2015,08
metamaterial,2013,May
stochastic approximation procedure,2012,01
Index Terms Cramèr-Rao Bound,2014,01
Bragg fiber grating,2011,May
Social,2014,January
performance,2015,June
performance,2013,January
performance,2014,03
Map- and-Encap,2012,May
fainter ones provided,2011,February
cases showed concomitant loss,2016,05
cases showed concomitant loss,2015,05
Logical Attacks,2011,
Logical Attacks,2012,
IM/DD,2013,January
SDN,2016,April
SDN,2013,October
SDN,2016,April
Impairments,2015,March
Impairments,2015,February
mobile phone,2011,June
mobile phone,2011,September
mobile phone,2013,January
mobile phone,2012,December
Transient faults,2015,December
detecting abnormal smartphones applications,2014,August
Civil Violence,2012,January
result accommodates also,2014,
catch-up TV services,2011,June
bci data classification,2012,12
significantly less area penalty,2013,July
routing decisions,2014,
Home Networking,2011,November
communication,2015,February
communication,2012,
communication,2014,May
communication,2013,January
communication,2012,October
communication,2012,December
communication,2012,December
many current techniques assume,2012,August
mammography,2014,August
mammography,2014,08
mammography,2013,February
discrete differential geometry,2014,March
discrete differential geometry,2014,01
Intraoperative functional mapping,2011,June
test,2014,July
test,2013,March
test,2014,May
and object representations,2012,09
Distributed video coding,2013,10
Distributed video coding,2013,October
Distributed video coding,2013,12
Distributed video coding,2013,December
Distributed video coding,2013,10
gestion de contention,2014,October
Malliavin calculus,2015,
présence,2012,October
features appear already deteriorated,2012,11
features appear already deteriorated,2012,November
usually large computational resources,2014,June
Random Matching Pursuit,2012,May
methods two female patients,2016,05
methods two female patients,2015,05
context awareness,2015,12
context awareness,2015,October
context awareness,2015,August
Management,2012,
Management,2017,05
gain lever,2015,11
Radio propagation,2014,May
score alignment systems,2011,
Structural pattern recognition,2011,June
frequency domain,2015,June
FPGA,2011,August
FPGA,2013,September
FPGA,2013,June
FPGA,2016,09
FPGA,2011,June
FPGA,2012,August
FPGA,2011,June
interactive zoom,2016,01
interactive zoom,2016,January
— cryptographic implementations,2011,June
user&apos;s perception,2012,June
EM algorithm,2014,September
EM algorithm,2013,October
public interfaces,2014,April
Mode-driven engineering,2016,January
ML,2013,May
important publicly available resources,2012,01
Generation—Display algorithms;,2013,December
Generation—Display algorithms;,2013,11
usual square patches used,2012,06
combined engagement,2015,
puits quentiques,2011,July
anorexia,2012,January
Glitch power reduction,2011,July
multichannel speech enhancement system,2012,August
channel access policy derived,2012,April
placement,2014,September
cellular,2012,October
context-dependent HMMs,2011,08
Multimodal,2016,05
Multimodal,2015,05
Heteroscedasticity,2011,June
Heteroscedasticity,2011,12
Heteroscedasticity,2012,June
Heteroscedasticity,2012,12
Antenna,2011,March
Antenna,2011,March
Bag-of-Features,2017,05
numerical results sustain,2013,December
Radius selec- tion,2015,August
semi- autonomous avatar,2013,July
HMM-based system,2012,January
side information,2013,10
side information,2013,October
side information,2013,12
side information,2013,December
Graphcut,2011,
lossy source coding,2014,01
simply connected domains,2013,
(1403520) Lasers,1999,
Resource reciprocation,2012,April
one ge senographe essential,2014,August
one ge senographe essential,2014,08
yu et al,2014,May
— exploding traffic demands,2013,04
AMS 2000 subject classifications: 62C20,2015,
NBIC,2014,
Formal Specification,2010,02
Formal Specification,2013,02
theory of institutions,2015,
rules,2014,October
QoS model,2013,October
commonly used approaches optimize,2012,12
commonly used approaches optimize,2012,January
Penalized maximum likelihood,2011,11
dictionary · Recurrent neural networks,2015,08
CSP,2016,April
CSP,2016,April
SPDC sources,2013,February
performativity,2012,December
65C40 * Corresponding author,2012,03
65C40 * Corresponding author,2012,January
novel data fusion approach,2012,05
video sharing service,2013,November
video sharing service,2013,
cryption Standard (AES),2012,
strategy layer comes next,2013,April
strategy layer comes next,2013,04
delay chain,2013,September
Digital Photo,2015,
Lexicographic Sum,2013,June
Lexicographic Sum,2013,06
apply evolutionary game theory,2012,August
apply evolutionary game theory,2012,April
Hard,2015,January
ACM Reference Format:,2011,04
Augmented Desktop,2016,May
UK,2012,January
UK,2011,11
Payment,2013,May
Payment,2014,May
Support,2012,12
Finite inpulse response (FIR),2015,01
Finite inpulse response (FIR),2015,January
growing least square reconstruction,1981,
MMI Architecture,2015,12
MMI Architecture,2015,October
MMI Architecture,2015,August
Mobile Ad-Hoc Networks,2012,August
Mobile Ad-Hoc Networks,2012,07
telecommunication,2012,October
adapting successive reject algorithm,2016,May
computer architecture,2013,
adaptive optics,2014,November
adaptive optics,2014,August
adaptive optics,2015,November
interacting branching particle system,2015,12
required memory space,2012,October
hybrid optoelectronic devices,2015,June
shad- owing,2013,June
Identity User-Centric,2014,January
frequency channels partially occupied,2012,August
frequency channels partially occupied,2012,April
tvalletti@imperialacuk,2011,11
éco-conception,2012,September
éco-conception,2013,
FML,2012,October
Betti,2011,May
Service Resilience,2014,March
evaluating outage,2014,02
evaluating outage,2012,02
pupil response,2012,February
privacy,2012,
privacy,2014,July
privacy,2011,September
privacy,2013,July
privacy,2012,October
spatial reasoning,2013,June
Boolean functions,2014,May
Boolean functions,2014,
Boolean functions,2015,December
Boolean functions,2014,September
Boolean functions,2015,January
Behavioral Imaging,2014,
données personnelles,2011,May
provide topological localization,2013,September
Mathematical predictive models,2014,April
culturelle,2012,December
passive probes continuously collect,2014,March
scénarios,2011,March
Analog-digital conversion,2011,November
doubly censored time series,2012,March
doubly censored time series,2012,03
cascade revocation process,2012,September
Camera,2015,
Camera,2011,September
locative media,2012,May
traditional view synthesis exploits,2016,02
Golem,2011,
resolution cmb data together,2014,February
receiver nonlinearity,2015,
criteria reflecting ranking performance,2011,
jeu,2012,March
jeu,2012,October
jeu,2011,November
stopping criteria,2011,October
stopping criteria,2011,September
Slater's problem,2015,01
Slater's problem,2013,01
3d audio,2013,March
3d audio,2013,September
model whose known behavior,2011,04
model whose known behavior,2012,04
numerical results confirm,2015,July
many-view,2011,01
Analog RoF,2012,June
Trusted Infrastructure,2013,July
bringer et al,2012,04
Languages Keywords: Multimedia,2011,November
linewidth enhancement factor,2013,05
linewidth enhancement factor,2011,June
linewidth enhancement factor,2011,January
instrument maker workshop,2012,12
instrument maker workshop,2012,December
detect malicious http transactions,2014,
Web3D,2011,November
Interaction techniques,2013,April
Interaction techniques,2012,07
SAR,2014,October
SAR,2014,October
SAR,2014,October
SAR,2015,February
SAR,2014,September
Proximité,2012,May
crowd questions required,2014,March
HTML 5,2011,February
also provide constructive algorithms,2014,March
Agent,2014,
intensity annotation study,2012,May
Multidisciplinary work,2011,
closed form expressions,2013,
harmony,2011,October
Model transformation,2016,February
stimulated Brillouin scattering,2016,01
High speed,2014,June
contour coding,2014,01
contour coding,2014,December
sketching interfaces,2015,April
interactive virtual assistant,2011,
interactive virtual assistant,2012,
Index Terms—chord recognition,2011,01
Bandpass,2010,
electroencephalograpy,2013,01
silver code exhibits,2013,May
image coding,2015,
image coding,2012,May
fuzzy modeling provides flexibility,2011,06
metacognition,2012,September
Index Terms—Modulation,2012,10
proposed spectrum access policies,2012,August
accuse another node,2013,March
H12 [Information Interfaces and Presentation]: User/Machine Systems—Human factors,2015,01
frame,2011,
DHT,2011,June
smart meters,2014,July
pressure,2011,
rips complex may miss,2014,01
data models,2011,June
brightness estimation,2013,October
present several interesting features,2014,01
High Resolution (HR),2011,June
High Resolution (HR),2010,
avatar,2012,September
avatar,2013,July
sound processing,2012,
attributed relational graphs,2015,
Polynomial,2015,April
includes various tools,2013,September
hierarchy extension descriptors shall,2015,
Human-computer interaction,2013,April
work enhances diplodocus,2013,September
models,2012,
unsupervised segmentation,2013,June
photon,2013,January
Optimization methods,2011,May
texture synthesis,2011,October
texture synthesis,2011,
texture synthesis,2013,
distributed video coding,2013,November
Access control,2011,June
Access control,2013,December
Access control,2013,October
active antenna,2012,January
augmented arm,2015,September
autonomic managers,2011,July
On-line algo-,2016,03
OCIS codes: (2505960) Semiconductor lasers,1999,
retrieval,2013,12
random phase textures,2011,September
(DSI),2014,January
CR Categories: I36 [Computer Graphics]: Methodology and,2015,June
measured physical values,2011,June
Smart Home,2015,April
"g *), establishing results",2013,03
small core network made,2013,
paper concerns robust location,2011,02
Apprendre à Ordonner,2011,February
logique,2012,May
Index Terms—Mobile Relay,2014,July
socio-technical system,2012,September
Content Centric Networking,2012,November
Content Centric Networking,2013,October
Convex optimization,2013,April
new feedback code,2015,June
new feedback code,2015,July
94A08,2011,
reference papers dating back,2012,12
reference papers dating back,2012,December
sentation]: User Interfaces,2012,May
structured Web,2012,April
structured Web,2011,November
distributed agents running,2014,
constant search area,2012,April
large scale problems,2013,
dystopie,2013,October
Index Terms-HSPDA,2014,
whereby work practices,2016,02
image geometry,2011,
reduce average waiting time,2012,June
reduce average waiting time,2012,September
end control policies applied,2013,June
end control policies applied,2013,01
morphometry,2014,01
Kolmogorov complexity,2011,
Mathematics Subject Classification 90B80 · 90C11 · 90C59,2015,01
appropriate statistical models according,2013,05
simulation,2013,August
Index Terms—Network coding,2011,
delay faults,2014,June
image gives 3 equations,2013,July
morphologie mathématique,2015,November
morphologie mathématique,2015,
proposed computational model described,2013,September
MIMO,2013,June
MIMO,2013,May
information retrieval,2012,October
network effects,2013,March
network effects,2013,03
Multi-View Video Coding,2016,12
variational methods,2013,
variational methods,2011,May
psychoacoustics,2013,June
Lévy distances,2016,March
squared error yields,2016,February
digitisation,2012,May
using specific leakage models,2013,11
patrimoine,2012,October
algebraic graph trans- formation,2014,September
channela c q u,2011,March
extensive numerical experiments show,2014,01
Image interpretation,2013,
processor sharing,2014,01
processor sharing,2013,01
14 millions authors,2015,February
Scientific databases,2011,
Guidance Techniques,2014,October
Fault Injection Analysis,2011,December
Fault Injection Analysis,2012,August
generalized matching problems arise,2013,August
mobile ad,2011,July
complémentarité,2013,September
Index Terms— Blind source separation,2012,
coherent detectection,2014,November
online social networks,2015,February
BGP,2012,May
BGP,2011,12
BGP,2012,November
Complexity,2012,May
Complexity,2013,April
Complexity,2013,June
Complexity,2013,06
Complexity,2016,May
Complexity,2012,July
Complexity,2015,April
Complexity,2015,01
Complexity,2013,01
three resynchronization algorithms,2011,June
nam- ing,2014,April
Measurement,2013,April
proper complex processes,2016,January
ot h e case,2014,01
Low dose X-ray imaging,2016,02
either parameter extracted,2011,August
image resolution,2013,06
image resolution,2013,January
image resolution,2012,06
image resolution,2012,January
local bandwidth,2011,
robot audition,2012,March
robot audition,2012,
Laser DFB,2011,July
signal,2014,
signal,2011,November
diaspora,2012,
codes over rings,2012,02
relational agent,2013,August
relational agent,2012,November
Self-adaptive,2013,
bootstrap aggregation combined,2015,April
cross-validation,2011,April
cross-validation,2011,April
Signal to noise ratio,2015,June
bipartite ranking algorithms well,2014,June
"per ), efficiency",2011,December
Discrete orthogonal transforms,2011,September
e r ·,2015,11
e r ·,2015,November
art,2012,March
Excess risk,2011,June
Excess risk,2011,12
Excess risk,2012,June
Excess risk,2012,12
bent,2014,May
enhanced dance visualisation experience,2011,November
fiber characterization,2015,February
3d beamforming wireless network,2016,May
namely monomodal behavior variations,2013,July
analyse des interactions,2011,
relevance,2011,June
relevance,2011,December
rate distortion versions,2013,February
C22,2011,February
level lines,2011,
whole animation enhanced,2012,September
cross-layer,2014,April
cross-layer,2011,July
symmetric dif- ference distance,2012,May
Ante-natal imaging,2013,May
kinetic scrolling,2011,
concurrent network policy updates,2015,April
réseaux de communication optique,2014,October
Rich,2011,February
keeps one single route,2012,June
Network virtualization,2014,October
point sets,2014,August
lossless compressed original files,2011,
Internet architecture,2013,April
recherche opérationnelle,2011,
space,2011,June
Cost-Awareness,2014,September
Combinatorics,2016,
total variation,2011,
single coherent formalism,2014,
Flooding Attack,2011,
Flooding Attack,2012,
SQL,2014,October
rate-distortion function,2012,05
rule mining,2014,September
subset selection,2013,01
subset selection,2013,June
voxel,2011,
y-intercept,2012,September
2013 &lt;hal-00839984&gt; Keywords-fMRI,2013,
H51 [Multimedia Information Systems],2012,June
efficient feature extraction,2007,04
texture,2011,September
ilarity measures satisfy,2014,July
mean-squared error (MSE),2016,03
mean-squared error (MSE),2016,March
Autonomic components,2013,April
direct file sharing service,2014,February
dilation,2012,July
dilation,2013,September
visualizations,2014,January
four intertwined steps,2011,July
p .; de gasperis,2011,
p .; de gasperis,2012,
optimal power control policies,2015,
Mid-air gestures,2011,November
Mid-air gestures,2014,September
software-defined networking,2014,July
novel information centric networking,2014,April
timing patterns according,2013,09
TOR,2014,May
Spearman attack,2012,June
camera quality,2012,12
diode lasers generates amplitude,2012,January
Semiconductor superlattice,2012,January
gdfe left preprocessing,2008,January
gdfe left preprocessing,2012,January
In,2014,01
Task Assignment,2016,April
InformationTheoretic (IT) metrics,2012,October
Motion-invariant photography,2016,March
nonverbal behaviors supporting,2015,August
broad frequency coverage led,2011,August
Segmentation,2013,May
Segmentation,2014,October
Segmentation,2013,
Manager Architecture,2014,September
adaptive filtering,2014,October
memorization,2015,April
point detection test based,2014,October
dialogue vocal,2011,January
colon,2011,January
varying spectral shapes,2011,
consider several ingredients,2011,December
computational photography,2013,October
wire-,2012,December
online stochastic gradient method,2013,June
Video sequences,2012,March
electromagnetic,2013,August
parison,2014,
Modular Exponentiation,2011,March
Elsevier,2014,05
Wizard of Oz,2013,February
correlated proposals,2012,03
correlated proposals,2012,January
resilient distributed control plane,2015,April
side informa-,2014,03
earlier works either rule,2013,06
Valuation,2015,01
Connectivity,2014,February
Cokriging,2011,07
AAIs,2013,August
UWB technology,2012,
gestes,2011,October
point-based graphics,2015,July
Stochastic proximal point algorithm,2016,
space hidden markov models,2012,
major internet service provider,2012,March
major internet service provider,2012,03
au-,2011,10
au-,2011,October
single known reference position,2014,March
corner reflector (CR),2010,
tag backscattered response,2011,August
2d uncertain scalar fields,2014,
FIRDAC,2013,May
video coding,2015,08
video coding,2011,August
video coding,2012,August
video coding,2014,December
video coding,2011,
video coding,2014,October
malicious nodes drop,2013,March
Future Internet,2012,November
Future Internet,2013,
Future Internet,2013,June
Future Internet,2013,December
Future Internet,2013,July
Future Internet,2012,December
Future Internet,2012,July
Future Internet,2015,March
Future Internet,2015,April
Future Internet,2015,October
Future Internet,2015,December
Future Internet,2015,August
Future Internet,2015,September
Future Internet,2015,July
Future Internet,2015,February
Future Internet,2014,March
Future Internet,2014,April
Future Internet,2014,October
Future Internet,2014,December
Future Internet,2014,August
Future Internet,2014,September
Future Internet,2014,July
Future Internet,2014,February
Future Internet,2013,March
Future Internet,2013,April
Future Internet,2013,October
Future Internet,2013,December
Future Internet,2013,August
Future Internet,2013,September
Future Internet,2013,July
Future Internet,2013,February
Future Internet,2012,March
Future Internet,2012,April
Future Internet,2012,October
Future Internet,2012,December
Future Internet,2012,August
Future Internet,2012,September
Future Internet,2012,July
Future Internet,2012,February
multi-dimensional,2012,September
sian,2014,01
Réseaux mobiles,2012,June
Berry-Esseen in-,2011,06
ultrasound,2014,01
ultrasound,2011,August
ultrasound,2011,September
justice,2012,December
justice,2011,January
justice,2011,October
first one consists,2014,01
first one consists,2014,September
shadowing,2014,01
shadowing,2011,12
Intelligent transport systems,2012,December
régulation,2013,June
régulation,2013,April
intrication,2012,November
intrication,2011,March
intrication,2013,July
intrication,2011,March
intrication,2011,July
intrication,2015,July
intrication,2012,October
specific practical uses,2014,June
8 ghz frequency bands,2015,01
Dual band,2012,01
Dual band,2012,July
Random Dictionaries,2012,10
driven engineering environment aimed,2014,April
H37 [Information Storage and Retrieval]: Digital Libraries—Collection,2013,October
combining multiple photographs acquired,2013,April
cross,2011,July
Generators,2012,May
glitch power reduction based,2011,
fmcw multistatic radar system,2014,March
debugging features provided,2012,February
art extraction systems,2012,April
Principal Component Analysis,2012,
Principal Component Analysis,2016,03
Fourier transforms,2012,July
WLS,2012,April
single receiver rx,2013,
assuming homogeneous traffic,2012,October
